"Group","Setting"
"knobs","Power/Policy/Settings/Button/SchemePersonality/8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c/Setting/PowerButtonAction/AcValue"
"knobs","Power/Policy/Settings/Button/SchemePersonality/8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c/Setting/PowerButtonAction/DcValue"
"knobs","Power/Policy/Settings/Button/SchemePersonality/a1841308-3541-4fab-bc81-f71556f20b4a/Setting/PowerButtonAction/AcValue"
"knobs","Power/Policy/Settings/Button/SchemePersonality/a1841308-3541-4fab-bc81-f71556f20b4a/Setting/PowerButtonAction/DcValue"
"knobs","Power/Policy/Settings/Graphics/SchemePersonality/961cc777-2547-4f9d-8174-7d86181b8a7a/Setting/GpuPreferencePolicy/AcValue"
"knobs","Power/Policy/Settings/Graphics/SchemePersonality/961cc777-2547-4f9d-8174-7d86181b8a7a/Setting/GpuPreferencePolicy/DcValue"
"knobs","Power/Policy/Settings/Graphics/SchemePersonality/ded574b5-45a0-4f42-8737-46345c09c238/Setting/GpuPreferencePolicy/AcValue"
"knobs","Power/Policy/Settings/Graphics/SchemePersonality/ded574b5-45a0-4f42-8737-46345c09c238/Setting/GpuPreferencePolicy/DcValue"
"knobs","Power/Policy/Settings/PCIExpress/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/Setting/ASPM/AcValue"
"knobs","Power/Policy/Settings/PCIExpress/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/Setting/ASPM/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/0aabb002-a307-447e-9b81-1d819df6c6d0/PerfEnergyPreference/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/0aabb002-a307-447e-9b81-1d819df6c6d0/PerfEnergyPreference/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/CPConcurrency/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/CPConcurrency/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/CPDecreaseTime/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/CPDecreaseTime/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/CPHeadroom/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/CPHeadroom/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/CPIncreaseTime/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/CPIncreaseTime/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/CpLatencyHintUnpark/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/CpLatencyHintUnpark/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/CPMaxCores/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/CPMaxCores/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/CPMinCores/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/CPMinCores/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/MaxPerformance/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/MaxPerformance/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/PerfDecreaseThreshold/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/PerfDecreaseThreshold/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/PerfDecreaseTime/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/PerfDecreaseTime/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/PerfDistributeUtility/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/PerfDistributeUtility/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/PerfIncreaseThreshold/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/4569e601-272e-4869-bcab-1c6c03d7966f/PerfIncreaseThreshold/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/ee1e4f72-e368-46b1-b3c6-5048b11c2dbd/PerfEnergyPreference/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/961cc777-2547-4f9d-8174-7d86181b8a7a/DefaultPowerSchemeValues/PerfEnergyPreference/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/ded574b5-45a0-4f42-8737-46345c09c238/DefaultPowerSchemeValues/MinPerformance/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/ded574b5-45a0-4f42-8737-46345c09c238/DefaultPowerSchemeValues/PerfDecreaseThreshold/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/ded574b5-45a0-4f42-8737-46345c09c238/DefaultPowerSchemeValues/PerfEnergyPreference/AcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/ded574b5-45a0-4f42-8737-46345c09c238/DefaultPowerSchemeValues/PerfEnergyPreference/DcValue"
"knobs","Power/Policy/Settings/Processor/SchemePersonality/ded574b5-45a0-4f42-8737-46345c09c238/DefaultPowerSchemeValues/PerfIncreasePolicy/DcValue"
